Jo,Jw,JA,eps,fluid velocity
0.54,0.66,0.75,0.42,1.2
0.54,0.66,1.5,0.44,1.2
0.54,0.66,2.25,0.42,1.2
0.54,0.88,0.75,0.4,1.42
0.54,0.88,1.5,0.4,1.42
0.54,0.88,2.25,0.4,1.42
0.54,1.10 ,0.75,0.31,1.64
0.54,1.10 ,1.5,0.35,1.64
0.54,1.10 ,2.25,0.36,1.64
0.54,1.32,0.75,0.27,1.86
0.54,1.32,1.5,0.31,1.86
0.54,1.32,2.25,0.37,1.86
0.72,0.66,0.75,0.38,1.38
0.72,0.66,1.5,0.41,1.38
0.72,0.66,2.25,0.45,1.38
0.72,0.88,0.75,0.32,1.6
0.72,0.88,1.5,0.34,1.6
0.72,0.88,2.25,0.38,1.6
0.72,1.10 ,0.75,0.33,1.82
0.72,1.10 ,1.5,0.38,1.82
0.72,1.10 ,2.25,0.38,1.82
0.72,1.32,0.75,0.25,2.04
0.72,1.32,1.5,0.29,2.04
0.72,1.32,2.25,0.30 ,2.04
0.89,0.66,0.75,0.35,1.55
0.89,0.66,1.5,0.38,1.55
0.89,0.66,2.25,0.40 ,1.55
0.89,0.88,0.75,0.32,1.77
0.89,0.88,1.5,0.37,1.77
0.89,0.88,2.25,0.38,1.77
0.89,1.10 ,0.75,0.30 ,1.99
0.89,1.10 ,1.5,0.31,1.99
0.89,1.10 ,2.25,0.37,1.99
0.89,1.32,0.75,0.24,2.21
0.89,1.32,1.5,0.30 ,2.21
0.89,1.32,2.25,0.35,2.21
1.07,0.66,0.75,0.31,1.73
1.07,0.66,1.5,0.32,1.73
1.07,0.66,2.25,0.40 ,1.73
1.07,0.88,0.75,0.24,1.95
1.07,0.88,1.5,0.35,1.95
1.07,0.88,2.25,0.36,1.95
1.07,1.10 ,0.75,1.19,2.17
1.07,1.10 ,1.5,0.27,2.17
1.07,1.10 ,2.25,0.34,2.17
1.07,1.32,0.75,0.09,2.39
1.07,1.32,1.5,0.15,2.39
1.07,1.32,2.25,0.19,2.39
