Np,t,v,bu
0,74047500,3.90522E+15,50
0,75528450,4.05597E+15,51
0,77009400,4.20683E+15,52
0,78490350,4.35749E+15,53
0,79971300,4.50764E+15,54
0,81452250,4.65694E+15,55
0,82933200,4.80507E+15,56
0,84414150,4.95169E+15,57
0,85895100,5.09644E+15,58
0,87376050,5.23899E+15,59
0,88857000,5.37898E+15,60
0,90337950,5.51605E+15,61
0,91818900,5.64984E+15,62
0,93299850,5.78002E+15,63
0,94780800,5.90621E+15,64
0,96261750,6.02807E+15,65
0,97742700,6.14525E+15,66
0,99223650,6.25741E+15,67
0,100704600,6.36423E+15,68
0,102185550,6.46538E+15,69
0,103666500,6.56054E+15,70
0,105147450,6.64941E+15,71
0,106628400,6.73171E+15,72
0,108109350,6.80717E+15,73
0,109590300,6.87552E+15,74
0,111071250,6.93654E+15,75
0,112552200,6.99E+15,76
0,114033150,7.03571E+15,77
0,115514100,7.07349E+15,78
0,116995050,7.10318E+15,79
0,118476000,7.12466E+15,80
0,119956950,7.13782E+15,81
0,121437900,7.14259E+15,82
2.7571E+17,122918850,7.13891E+15,83
0,124399800,7.12676E+15,84
0,125880750,7.10614E+15,85
3.10893E+17,127361700,7.07709E+15,86
0,128842650,7.03966E+15,87
0,130323600,6.99394E+15,88
0,131804550,6.94005E+15,89
4.78905E+17,133285500,6.87814E+15,90
0,134766450,6.80836E+15,91
0,136247400,6.73093E+15,92
0,137728350,6.64607E+15,93
0,139209300,6.55403E+15,94
0,140690250,6.45508E+15,95
5.10216E+17,142171200,6.34952E+15,96
0,143652150,6.23766E+15,97
0,145133100,6.11986E+15,98
0,146614050,5.99645E+15,99
0,148095000,5.86783E+15,100
0,149575950,5.73438E+15,101
5.13542E+17,151056900,5.59649E+15,102
5.83444E+17,152537850,5.4546E+15,103
4.47802E+17,154018800,5.3091E+15,104
4.47802E+17,155499750,5.16045E+15,105
0,156980700,5.00907E+15,106
0,158461650,4.85539E+15,107
0,159942600,4.69986E+15,108
0,161423550,4.54291E+15,109
3.15036E+17,162904500,4.38497E+15,110
4.26373E+17,164385450,4.22646E+15,111
0,165866400,4.06782E+15,112
0,167347350,3.90944E+15,113
0,168828300,3.75171E+15,114
0,170309250,3.59503E+15,115
3.41809E+17,171790200,3.43976E+15,116
0,173271150,3.28625E+15,117
0,174752100,3.13484E+15,118
0,176233050,2.98583E+15,119
0,177714000,2.83953E+15,120
0,179194950,2.6962E+15,121
0,180675900,2.5561E+15,122
0,182156850,2.41944E+15,123
0,183637800,2.28645E+15,124
0,185118750,2.1573E+15,125
0,186599700,2.03215E+15,126
4.32386E+17,188080650,1.91113E+15,127
0,189561600,1.79436E+15,128
0,191042550,1.68193E+15,129
0,192523500,1.5739E+15,130
0,194004450,1.47033E+15,131
0,195485400,1.37124E+15,132
0,196966350,1.27663E+15,133
0,198447300,1.18649E+15,134
0,199928250,1.10079E+15,135
0,201409200,1.01948E+15,136
3.11396E+17,202890150,9.42511E+14,137
0,204371100,8.69791E+14,138
0,205852050,8.01236E+14,139
0,207333000,7.36743E+14,140
0,208813950,6.762E+14,141
0,210294900,6.19486E+14,142
0,211775850,5.66473E+14,143
0,213256800,5.17024E+14,144
0,214737750,4.70999E+14,145
0,216218700,4.28253E+14,146
0,217699650,3.88638E+14,147
0,219180600,3.52004E+14,148
2.4706E+17,220661550,3.18201E+14,149
0,222142500,2.87078E+14,150
0,223623450,2.58486E+14,151
0,225104400,2.32275E+14,152
1.72884E+17,226585350,2.08302E+14,153
0,228066300,1.86424E+14,154
0,229547250,1.66503E+14,155
0,231028200,1.48403E+14,156
0,232509150,1.31997E+14,157
0,233990100,1.17158E+14,158
0,235471050,1.03768E+14,159
0,236952000,9.17126E+13,160
0,238432950,8.08844E+13,161
0,239913900,7.11806E+13,162
0,241394850,6.25048E+13,163
0,242875800,5.47662E+13,164
0,244356750,4.78797E+13,165
0,245837700,4.17661E+13,166
0,247318650,3.63515E+13,167
0,248799600,3.15675E+13,168
0,250280550,2.73507E+13,169
0,251761500,2.3643E+13,170
0,253242450,2.03907E+13,171
0,254723400,1.75449E+13,172
0,256204350,1.5061E+13,173
0,257685300,1.28983E+13,174
4.41891E+16,259166250,1.10199E+13,175
0,260647200,9.3925E+12,176
0,262128150,7.98619E+12,177
0,263609100,6.77397E+12,178
0,265090050,5.73172E+12,179
0,266571000,4.83791E+12,180
0,268051950,4.07336E+12,181
0,269532900,3.42108E+12,182
0,271013850,2.86604E+12,183
0,272494800,2.39498E+12,184
0,273975750,1.99625E+12,185
0,275456700,1.65963E+12,186
0,276937650,1.37622E+12,187
0,278418600,1.13823E+12,188
0,279899550,9.38942E+11,189
0,281380500,7.72505E+11,190
0,282861450,6.33884E+11,191
0,284342400,5.1875E+11,192
0,285823350,4.23388E+11,193
0,287304300,3.44621E+11,194
0,288785250,2.79744E+11,195
0,290266200,2.26459E+11,196
0,291747150,1.82817E+11,197
0,293228100,1.47176E+11,198
0,294709050,1.18153E+11,199
0,296190000,94585667021,200
0,297670950,75505117214,201
0,299151900,60101935706,202
2.04081E+16,300632850,47703871742,203
